Ni (at.%),Ti (at.%),Hf (at.%),Martensite Start Temperature - MS - (°C),Cooling Rate (°C/min),Heat Treat 2 Time (hr),Heat Treat 1 Time (hr),Heating Rate (°C/min),ev/a (Number of Valence Electrons),Weighted_Atomic_Radius (pm),Weighted_Electronegativity
50.3,29.7,20.0,148.625,10.0,1.0,72.0,10.0,7.018,137.831,1.6781099999999998
50.3,34.7,15.0,55.83870967741935,10.0,1.0,72.0,10.0,7.018,137.231,1.69011
50.3,34.7,15.0,34.333333333333336,10.0,1.0,72.0,10.0,7.018,137.231,1.69011
50.3,34.7,15.0,26.583333333333332,10.0,1.0,72.0,10.0,7.018,137.231,1.69011
50.3,29.7,20.0,149.4,20.0,3.0,72.0,20.0,7.018,137.831,1.6781099999999998
50.3,41.7,8.0,-31.25,10.0,12.0,72.5,10.0,7.018,136.391,1.70691
50.3,41.2,8.5,-8.0,10.0,3.5,0.5,10.0,7.018,136.451,1.7057100000000003
50.0,29.7,20.3,140.82926829268294,18.78048780487805,3.0,72.0,18.78048780487805,7.0,137.936,1.6762799999999998
49.8,42.2,8.0,94.2,10.0,0.25,24.0,10.0,6.988000000000001,136.506,1.70506
42.0,48.0,10.0,63.542857142857144,10.0,1.0,100.0,10.0,6.52,138.54,1.6713999999999998
49.0,41.0,10.0,91.14285714285714,10.0,1.0,1.0,10.0,6.94,136.93,1.6972999999999998
50.0,30.0,20.0,285.1875,20.0,100.0,100.0,20.0,7.0,137.9,1.6769999999999998
40.0,50.0,10.0,108.0,10.0,1.0,1.0,10.0,6.4,139.0,1.6639999999999997
46.0,44.0,10.0,108.0,10.0,1.0,1.0,10.0,6.76,137.62,1.6862000000000001
47.0,43.0,10.0,111.0,10.0,1.0,1.0,10.0,6.82,137.39,1.6899000000000002
48.0,42.0,10.0,103.0,10.0,1.0,1.0,10.0,6.88,137.16,1.6936000000000002
49.0,21.0,30.0,525.0,10.0,1.0,1.0,10.0,6.94,139.33,1.6493
49.0,26.0,25.0,395.0,10.0,1.0,1.0,10.0,6.94,138.73,1.6613
49.0,31.0,20.0,307.0,10.0,1.0,1.0,10.0,6.94,138.13,1.6732999999999998
49.0,36.0,15.0,203.0,10.0,1.0,1.0,10.0,6.94,137.53,1.6852999999999998
49.0,40.0,11.0,129.0,10.0,1.0,1.0,10.0,6.94,137.05,1.6949
49.0,41.0,10.0,120.0,10.0,1.0,1.0,10.0,6.94,136.93,1.6972999999999998
49.0,43.0,8.0,86.0,10.0,1.0,1.0,10.0,6.94,136.69,1.7021000000000002
49.0,46.0,5.0,80.0,10.0,1.0,1.0,10.0,6.94,136.33,1.7093
49.0,48.0,3.0,76.0,10.0,1.0,1.0,10.0,6.94,136.09,1.7141
49.0,49.5,1.5,60.0,10.0,1.0,1.0,10.0,6.94,135.91,1.7176999999999998
49.0,50.0,1.0,69.0,10.0,1.0,1.0,10.0,6.94,135.85,1.7188999999999999
50.0,25.0,25.0,405.0,10.0,1.0,1.0,10.0,7.0,138.5,1.665
50.0,40.0,10.0,104.0,10.0,1.0,1.0,10.0,7.0,136.7,1.7009999999999998
50.25,34.75,15.0,184.0,10.0,1.0,1.0,10.0,7.015,137.2425,1.6899250000000001
50.25,37.25,12.5,124.0,10.0,1.0,1.0,10.0,7.015,136.9425,1.695925
50.25,39.75,10.0,53.0,10.0,1.0,1.0,10.0,7.015,136.6425,1.701925
50.5,24.5,25.0,308.0,10.0,1.0,1.0,10.0,7.03,138.385,1.66685
50.5,39.5,10.0,-6.0,10.0,1.0,1.0,10.0,7.03,136.585,1.70285
51.0,39.0,10.0,-20.0,10.0,1.0,1.0,10.0,7.06,136.47,1.7046999999999999
50.3,29.7,20.0,139.26984126984127,10.0,3.533532258064516,72.0,10.0,7.018,137.831,1.6781099999999998
50.3,29.7,20.0,158.05714285714285,10.0,4.775785714285714,72.0,10.0,7.018,137.831,1.6781099999999998
49.4,38.6,12.0,195.0,10.0,1.0,24.0,10.0,6.964000000000001,137.078,1.69398
50.6,24.4,25.0,259.14285714285717,40.0,1.0,4.0,40.0,7.035999999999999,138.362,1.6672200000000001
51.2,23.4,25.4,201.3125,60.0,1.0,20.0,60.0,7.072,138.27200000000002,1.6684800000000002
49.0,36.0,15.0,155.5,10.0,2.0,2.0,10.0,6.94,137.53,1.6852999999999998
50.3,34.7,15.0,127.93333333333334,10.0,2.0,75.0,10.0,7.018,137.231,1.69011
50.3,29.7,20.0,165.66666666666666,10.0,0.5,72.0,10.0,7.018,137.831,1.6781099999999998
50.3,29.7,20.0,209.14285714285714,10.0,0.5,72.0,10.0,7.018,137.831,1.6781099999999998
50.3,29.7,20.0,201.71428571428572,10.0,4.336666666666667,72.0,10.0,7.018,137.831,1.6781099999999998
50.3,29.7,20.0,176.6875,10.0,3.0,72.0,10.0,7.018,137.831,1.6781099999999998
50.3,29.7,20.0,182.22222222222223,10.0,3.0,72.0,10.0,7.018,137.831,1.6781099999999998
50.1,24.9,25.0,122.5,5.0,3.0,72.0,5.0,7.006,138.477,1.66537
50.3,29.7,20.0,187.16666666666666,5.0,2605.5,72.0,5.0,7.018,137.831,1.6781099999999998
48.5,36.5,15.0,200.0,10.0,1.0,10.0,10.0,6.91,137.645,1.68345
50.3,48.7,1.0,25.185185185185187,10.0,10.0,72.0,10.0,7.018,135.55100000000002,1.72371
50.3,29.7,20.0,121.0126582278481,10.0,3.0,23.770992366412212,10.0,7.018,137.831,1.6781099999999998
50.7,29.3,20.0,137.75675675675674,10.0,3.5090909090909093,48.0,10.0,7.042,137.739,1.6795900000000001
51.2,28.8,20.0,108.81481481481481,10.0,3.0,48.0,10.0,7.072000000000001,137.62400000000002,1.68144
52.0,28.0,20.0,80.21428571428571,10.0,3.0,48.0,10.0,7.12,137.44,1.6844
46.0,39.0,15.0,237.0,10.0,1.0,24.0,10.0,6.76,138.22,1.6742000000000001
50.3,34.7,15.0,100.0,10.0,1.0,24.0,10.0,7.018,137.231,1.69011
48.5,36.5,15.0,200.0,10.0,1.0,10.0,10.0,6.91,137.645,1.68345
50.6,29.4,20.0,154.47058823529412,15.0,5.5625,4.0,15.0,7.0360000000000005,137.762,1.67922
50.8,29.2,20.0,48.0,15.0,2.0,4.0,15.0,7.048,137.71599999999998,1.67996
49.0,36.0,15.0,193.5,10.0,1.0,1.5,10.0,6.94,137.53,1.6852999999999998
49.0,36.0,15.0,192.0,10.0,1.0,1.5,10.0,6.94,137.53,1.6852999999999998
50.4,29.6,20.0,194.66666666666666,15.0,4.0,4.0,15.0,7.024,137.808,1.6784800000000002
51.0,36.5,12.5,20.1,5.0,1.0,4.0,5.0,7.06,136.77,1.6987
