Authors,Source,Title,Year,Ni (at.%),Ti (at.%),Heating Rate (°C/min),composition,Hf (at.%)
M. Zarinejad; Y. Liu and T. J. White,Intermetallics,The crystal chemistry of martensite in NiTiHf shape memory alloys,2008.0,35.0,50.0,10.0,Ni35.0Ti50.0Hf15.0 %,15.0
Y. Tong; F. Chen; B. Tian; L. Li and Y. Zheng,Materials Letters,Microstructure and martensitic transformation of Ti49Ni51−xHfx high temperature shape memory alloys,2009.0,36.0,49.0,20.0,Ni36.0Ti49.0Hf15.0 %,15.0
D. N. Abujudom; M. Y. Kao; P. E. Thoma and D. R. Angst,US5114504,High transformation temperature shape memory alloy,1992.0,40.0,50.0,10.0,Ni40.0Ti50.0Hf10.0 %,10.0
J. Rao; T. Roberts; K. Lawson and J. Nicholls,Surface and Coatings Technology,Nickel titanium and nickel titanium hafnium shape memory alloy thin films,2010.0,40.0,30.0,5.0,Ni40.0Ti30.0Hf30.0 %,30.0
J. Rao; T. Roberts; K. Lawson and J. Nicholls,Surface and Coatings Technology,Nickel titanium and nickel titanium hafnium shape memory alloy thin films,2010.0,40.0,30.0,5.0,Ni40.0Ti30.0Hf30.0 %,30.0
S. Besseghini; E. Villa and A. Tuissi,Materials Science and Engineering: A,Ni-Ti-Hf shape memory alloy: effect of aging and thermal cycling,1999.0,40.0,50.0,5.0,Ni40.0Ti50.0Hf10.0 %,10.0
D. König; R. Zarnetta; A. Savan; H. Brunken and A. Ludwig,Acta Materialia,Phase transformation; structural and functional fatigue properties of Ti–Ni–Hf shape memory thin films,2011.0,40.0,53.6,5.0,Ni40.0Ti53.6Hf6.4 %,6.4
D. König; R. Zarnetta; A. Savan; H. Brunken and A. Ludwig,Acta Materialia,Phase transformation; structural and functional fatigue properties of Ti–Ni–Hf shape memory thin films,2011.0,40.0,51.7,5.0,Ni40.0Ti51.7Hf8.3 %,8.3
D. König; R. Zarnetta; A. Savan; H. Brunken and A. Ludwig,Acta Materialia,Phase transformation; structural and functional fatigue properties of Ti–Ni–Hf shape memory thin films,2011.0,40.0,50.7,5.0,Ni40.0Ti50.7Hf9.3 %,9.3
D. König; R. Zarnetta; A. Savan; H. Brunken and A. Ludwig,Acta Materialia,Phase transformation; structural and functional fatigue properties of Ti–Ni–Hf shape memory thin films,2011.0,40.0,48.3,5.0,Ni40.0Ti48.3Hf11.7 %,11.7
